trial_id,method,source_size,retained_size,removed_count,library_reduction,budget_kind,budget_fraction,budget_amount,passive_value,research_option_premium,total_value,signed_operational_loss,signed_generative_loss,signed_total_dynamic_loss,operational_loss,generative_loss,total_dynamic_loss,future_value_loss,retained_ids,decomposition_gate
74,frontier_only,4,2,2,1//2,none,0//1,0//1,525//64,0//1,525//64,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_3,true
74,innovation_safe,4,3,1,1//4,none,0//1,0//1,525//64,0//1,525//64,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_3,true
74,approx_operational,4,2,2,1//2,passive_value,1//10,105//128,525//64,0//1,525//64,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_3,true
74,approx_generative,4,1,3,3//4,research_option_premium,1//20,0//1,0//1,0//1,0//1,525//64,0//1,525//64,525//64,0//1,525//64,true,inactive,true
75,frontier_only,4,2,2,1//2,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_3,true
75,innovation_safe,4,3,1,1//4,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_2;strategy_3,true
75,approx_operational,4,2,2,1//2,passive_value,1//10,35//32,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_3,true
75,approx_generative,4,1,3,3//4,research_option_premium,1//20,0//1,0//1,0//1,0//1,175//16,0//1,175//16,175//16,0//1,175//16,true,inactive,true
76,frontier_only,4,2,2,1//2,none,0//1,0//1,1225//128,0//1,1225//128,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1,true
76,innovation_safe,4,3,1,1//4,none,0//1,0//1,1225//128,0//1,1225//128,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_2,true
76,approx_operational,4,2,2,1//2,passive_value,1//10,245//256,1225//128,0//1,1225//128,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1,true
76,approx_generative,4,1,3,3//4,research_option_premium,1//20,0//1,0//1,0//1,0//1,1225//128,0//1,1225//128,1225//128,0//1,1225//128,true,inactive,true
77,frontier_only,6,3,3,1//2,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_2;strategy_4,true
77,innovation_safe,6,4,2,1//3,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_2;strategy_3;strategy_4,true
77,approx_operational,6,3,3,1//2,passive_value,1//10,35//32,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_2;strategy_4,true
77,approx_generative,6,1,5,5//6,research_option_premium,1//20,0//1,0//1,0//1,0//1,175//16,0//1,175//16,175//16,0//1,175//16,true,inactive,true
78,frontier_only,5,2,3,3//5,none,0//1,0//1,175//16,0//1,175//16,0//1,2055//8192,2055//8192,0//1,2055//8192,2055//8192,true,inactive;strategy_3,true
78,innovation_safe,5,3,2,2//5,none,0//1,0//1,175//16,2055//8192,91655//8192,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_2;strategy_3,true
78,approx_operational,5,2,3,3//5,passive_value,1//10,35//32,175//16,0//1,175//16,0//1,2055//8192,2055//8192,0//1,2055//8192,2055//8192,true,inactive;strategy_3,true
78,approx_generative,5,3,2,2//5,research_option_premium,1//20,411//32768,175//16,2055//8192,91655//8192,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_2;strategy_3,true
79,frontier_only,6,2,4,2//3,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_2,true
79,innovation_safe,6,3,3,1//2,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_2,true
79,approx_operational,6,2,4,2//3,passive_value,1//10,35//32,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_2,true
79,approx_generative,6,1,5,5//6,research_option_premium,1//20,0//1,0//1,0//1,0//1,175//16,0//1,175//16,175//16,0//1,175//16,true,inactive,true
80,frontier_only,5,2,3,3//5,none,0//1,0//1,175//16,2775//16384,181975//16384,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_4,true
80,innovation_safe,5,2,3,3//5,none,0//1,0//1,175//16,2775//16384,181975//16384,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_4,true
80,approx_operational,5,2,3,3//5,passive_value,1//10,35//32,175//16,2775//16384,181975//16384,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_4,true
80,approx_generative,5,2,3,3//5,research_option_premium,1//20,555//65536,175//16,2775//16384,181975//16384,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_4,true
81,frontier_only,6,2,4,2//3,none,0//1,0//1,2275//256,80145//65536,662545//65536,0//1,18495//32768,18495//32768,0//1,18495//32768,18495//32768,true,inactive;strategy_4,true
81,innovation_safe,6,4,2,1//3,none,0//1,0//1,2275//256,117135//65536,699535//65536,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_3;strategy_4,true
81,approx_operational,6,2,4,2//3,passive_value,1//10,455//512,2275//256,80145//65536,662545//65536,0//1,18495//32768,18495//32768,0//1,18495//32768,18495//32768,true,inactive;strategy_4,true
